ComponentAge,MonthlyRunTime,Location,FlowRate,OPXVolume,MaxOutputRate,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor5,DaysSinceMaintenance,Target
0.55,9.5,B,0.9974,,32,10,1.9,0.58,3.13,0.22,0.08,9,0
0.32,12.7,A,0.99184,,28,6.9,10.55,0.3,3.07,0.3,0.037,4,0
0.57,9.7,B,0.99743,,86,7.2,2.3,0.66,3.53,0.03,0.078,16,0
0.5,9.5,B,0.99593,,84,7.1,1.8,0.755,3.19,0.15,0.107,20,0
0.44,10.8,A,0.9928,,127,7,4.9,0.29,3.17,0.37,0.034,26,0
0.41,10.6,A,0.993,,76,7,2.1,0.22,3.2,0.33,0.052,15,0
0.76,10,A,0.9966,,110,7.7,7.7,0.39,3.33,0.49,0.036,11,0
0.5,9.55,A,0.99494,,170,6.6,8.1,0.34,3.15,0.4,0.046,68,0
0.3,11.9,A,0.992,,138,7.3,6.85,0.33,3.03,0.4,0.038,32,1
0.5,9.8,A,0.99345,,109,6.4,1.5,0.16,3.38,0.37,0.037,27,0
0.64,10.2,A,0.9972,,234,7.1,6.8,0.3,3.49,0.36,0.055,44.5,0
0.48,9.7,A,0.9934,,160,8.1,1.2,0.12,3.13,0.49,0.042,43,0
0.38,11.7,A,0.9902,,81,5.2,1.2,0.37,3.37,0.33,0.028,13,0
0.65,11.4,B,0.99533,7,35,7.6,2.1,0.715,3.48,0,0.068,30,0
0.37,10,A,0.99508,,150,7.5,6.9,0.42,3.23,0.19,0.041,62,0
0.42,10.6,A,1.00295,,122,6.8,26.05,0.45,3.06,0.28,0.031,27,0
0.5,9.2,A,0.9986,10,193,7.4,14.5,0.19,3.1,0.31,0.045,39,0
0.44,13,A,0.99408,,134,6,15.5,0.28,3.19,0.27,0.036,31,1
0.45,9,A,0.9983,,162,6.4,14.9,0.34,3.13,0.2,0.06,37,0
0.46,9.1,A,0.9943,,126,5.8,4.5,0.555,3.24,0.26,0.053,17,0
0.58,12.2,A,0.99235,,115,7,6.4,0.32,3.38,0.31,0.031,38,1
0.5,9.8,B,0.99656,1,74,8,2.1,0.77,3.27,0.32,0.079,16,0
0.34,11.3,A,0.9902,,111,4.8,2.9,0.17,3.38,0.28,0.03,22,1
0.54,10.8,A,0.9916,,101,6.5,1.4,0.25,3.24,0.2,0.024,29,0
0.45,10.9,A,0.99406,2,113,6.8,9.8,0.18,3.11,0.28,0.039,29,1
1.07,9.7,B,0.99801,11,122,8,2.5,0.42,3.22,0.32,0.08,26,0
0.5,10,A,0.99243,11,108,5.5,2.9,0.17,3.28,0.23,0.039,10,0
0.84,12.5,B,0.9934,,27,5.3,1.7,0.57,3.57,0.01,0.054,5,1
0.81,10.4,B,0.99672,,51,8.2,2.5,0.2,3.53,0.43,0.076,31,0
0.36,9.2,A,0.9987,,103,7.2,16.2,0.2,3.06,0.61,0.043,14,0
0.44,9.6,A,0.9952,,160,6.7,6.7,0.31,3.04,0.44,0.054,29,0
0.44,10.1,A,0.99266,,185,6.2,1.2,0.3,3.28,0.32,0.052,32,0
0.48,13,A,0.98952,,129,6.6,2.7,0.35,3.24,0.26,0.045,19,1
0.35,10.1,A,0.9947,,168,7.3,6.4,0.3,3.13,0.22,0.056,44,0
0.81,9.6,B,0.9973,,20,7.2,1.4,0.52,3.32,0.07,0.074,5,0
0.37,9.2,A,0.996,,117,6.9,7.8,0.32,3.23,0.13,0.042,11,0
0.58,9.8,A,0.9954,,166,6.7,9.1,0.2,3.14,0.41,0.044,50,0
0.48,9,A,0.9976,,178,7.4,13.2,0.25,3.01,0.36,0.067,53,0
0.58,9.6,A,0.9979,,227,6.9,14,0.27,3.18,0.4,0.05,64,0
0.43,12.7,A,0.98964,,148,6.5,2.5,0.33,3.17,0.38,0.047,30,0
0.34,10.4,A,0.9942,,118,7.4,7.9,0.21,2.96,0.3,0.039,14,0
0.45,9.3,A,0.99748,,205,7.6,10.4,0.48,3.24,0.28,0.049,57,0
0.34,11.9,A,0.98924,,180,4.8,1.1,0.29,3.28,0.23,0.044,38,0
0.69,10.7,A,0.9965,,94,7.4,5.7,0.37,3.48,0.35,0.061,12,0
0.55,9.5,A,0.9969,,186,7.7,10.7,0.23,3.12,0.31,0.038,59,0
0.62,9.7,B,0.99975,,87,9.3,3.4,0.61,3.24,0.26,0.09,25,0
0.68,10.6,B,0.99828,,22,8.2,3,0.28,3.39,0.6,0.104,10,0
0.44,11.3,A,0.99304,,123,7.4,6,0.35,3.14,0.24,0.042,28,0
0.49,9.1,A,0.9986,,212,7.4,12.8,0.19,3.14,0.3,0.053,48.5,1
0.6,11.9,B,0.9947,,26,7.4,2.4,0.35,3.36,0.33,0.068,9,0
0.7,11,B,0.99633,,69,7,4.8,0.58,3.32,0.28,0.085,12,0
0.6,10.2,B,0.9988,,28,9.6,2.2,0.68,3.14,0.24,0.087,5,0
0.54,12.4,A,0.98944,,145,6.5,1.3,0.26,3.16,0.31,0.034,59,0
0.43,11.5,A,0.99112,,106,6.6,5.35,0.21,2.93,0.29,0.029,43,1
0.3,9.2,A,0.9983,,143,7.6,12,0.22,2.99,0.28,0.056,68,0
0.63,12.5,A,0.99028,,88,6.5,3.8,0.33,3.25,0.3,0.036,34,1
0.74,9.9,A,0.9953,,150,6.7,9.1,0.21,3.12,0.42,0.049,31,1
0.4,11.7,A,0.9934,,170,6.1,8.4,0.31,3.42,0.37,0.031,70,1
0.38,9.3,A,0.9951,,163,6.6,5.3,0.27,3.2,0.31,0.137,35,0
0.42,10.5,A,0.99154,,161,7.5,1.4,0.3,2.95,0.32,0.032,31,0
0.38,11.5,A,0.99437,,99,5.5,14,0.15,3.26,0.32,0.031,16,1
0.5,9.8,A,0.99232,1,126,8.1,1.3,0.28,3.14,0.34,0.035,11,0
0.57,9.2,A,0.9938,,151,7.2,1.5,0.55,3.07,0.09,0.108,16,0
0.41,9.2,A,0.99416,,119,6,5.1,0.33,3.15,0.26,0.051,16,0
0.26,13.4,A,0.98934,,86,6.2,6.1,0.37,3.04,0.24,0.032,19,1
0.53,11.4,A,0.99129,9,152,7.6,3.2,0.27,3.02,0.52,0.043,28,0
0.53,9.2,B,0.9982,9,106,8.9,2.85,0.48,3.1,0.24,0.094,35,0
0.73,10.3,A,0.99242,,49,8.1,1.3,0.2,2.99,0.3,0.036,7,0
